tunecache	0.7.0	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=5050	# Last updated Tue Jun  9 10:01:28 2015

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x48x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay,dagger,DslashCloverTwist	640	1	1	346	1	1	6145	# 286.48 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:59:37 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,dagger,Dslash	64	1	1	3456	1	1	0	# 249.52 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:59:37 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=18,Dslash	128	1	1	1728	1	1	7022	# 253.61 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:45 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=18,Xpay,DslashCloverTwist	384	1	1	576	1	1	16385	# 343.82 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:46 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=18,Xpay,dagger,DslashCloverTwist	192	1	1	1152	1	1	7022	# 344.63 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:40 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=18,dagger,Dslash	256	1	1	864	1	1	24577	# 253.81 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:39 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=8,Dslash	64	1	1	3456	1	1	0	# 261.15 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:53 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=8,Xpay,DslashCloverTwist	128	1	1	1728	1	1	16385	# 323.98 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:54 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=8,Xpay,dagger,DslashCloverTwist	64	1	1	3456	1	1	0	# 325.39 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:36 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=8,dagger,Dslash	128	1	1	1728	1	1	0	# 260.17 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:35 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=18,Dslash	128	1	1	1728	1	1	0	# 91.84 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:45 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=18,Xpay,DslashCloverTwist	128	1	1	1728	1	1	16385	# 100.93 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:46 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=18,Xpay,dagger,DslashCloverTwist	128	1	1	1728	1	1	16385	# 101.19 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:40 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=18,dagger,Dslash	128	1	1	1728	1	1	7022	# 92.07 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:39 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Dslash	128	1	1	1728	1	1	0	# 88.82 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:53 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay,DslashCloverTwist	32	1	1	6912	1	1	0	# 83.98 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:53 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay,dagger,DslashCloverTwist	64	1	1	3456	1	1	0	# 84.00 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:36 2015
24x48x48x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,dagger,Dslash	64	1	1	3456	1	1	0	# 71.17 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:35 2015
24x48x48x4	N4quda25xpyHeavyQuarkResidualNormI7double37double2S2_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	128	1	1	56	1	1	3072	# 35.66 Gflop/s, 171.15 GB/s, tuned Wed Feb 25 07:39:28 2015
24x48x48x4	N4quda25xpyHeavyQuarkResidualNormI7double37double2S2_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	128	1	1	56	1	1	3072	# 35.53 Gflop/s, 170.56 GB/s, tuned Wed Feb 25 02:00:43 2015
24x48x48x4	N4quda3DotId6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1	96	1	1	224	1	1	768	# 42.54 Gflop/s, 170.14 GB/s, tuned Wed Feb 25 07:38:31 2015
24x48x48x4	N4quda3DotId6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=1	128	1	1	168	1	1	1024	# 42.60 Gflop/s, 170.41 GB/s, tuned Wed Feb 25 01:59:45 2015
24x48x48x4	N4quda3xpyI7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	576	1	1	248	1	1	0	# 7.39 Gflop/s, 177.33 GB/s, tuned Wed Feb 25 07:40:01 2015
24x48x48x4	N4quda3xpyI7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	544	1	1	251	1	1	0	# 7.40 Gflop/s, 177.59 GB/s, tuned Wed Feb 25 02:01:16 2015
24x48x48x4	N4quda4axpyI6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1	576	1	1	249	1	1	0	# 29.78 Gflop/s, 178.68 GB/s, tuned Wed Feb 25 07:40:11 2015
24x48x48x4	N4quda4axpyI6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=1	896	1	1	246	1	1	0	# 29.77 Gflop/s, 178.61 GB/s, tuned Wed Feb 25 02:01:26 2015
24x48x48x4	N4quda4axpyI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1,vol=221184,stride=221184,precision=8,TwistFlavour=-1	256	1	1	14	1	1	0	# 16.78 Gflop/s, 100.70 GB/s, tuned Wed Feb 25 07:39:41 2015
24x48x48x4	N4quda4axpyI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1,vol=221184,stride=221184,precision=8,TwistFlavour=1	384	1	1	9	1	1	0	# 16.83 Gflop/s, 101.00 GB/s, tuned Wed Feb 25 15:23:07 2015
24x48x48x4	N4quda4axpyI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=1,vol=221184,stride=221184,precision=8,TwistFlavour=1	256	1	1	12	1	1	0	# 16.78 Gflop/s, 100.66 GB/s, tuned Wed Feb 25 02:00:56 2015
24x48x48x4	N4quda4xpayI6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1	832	1	1	251	1	1	0	# 29.79 Gflop/s, 178.73 GB/s, tuned Wed Feb 25 07:40:22 2015
24x48x48x4	N4quda4xpayI6float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=1	864	1	1	249	1	1	0	# 29.81 Gflop/s, 178.83 GB/s, tuned Wed Feb 25 02:01:37 2015
24x48x48x4	N4quda5Norm2Id7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	224	1	1	224	1	1	1792	# 40.85 Gflop/s, 163.40 GB/s, tuned Wed Feb 25 07:37:41 2015
24x48x48x4	N4quda5Norm2Id7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	224	1	1	219	1	1	1792	# 40.79 Gflop/s, 163.15 GB/s, tuned Wed Feb 25 01:58:52 2015
24x48x48x4	N4quda8axpyZpbxI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1,vol=221184,stride=221184,precision=8,TwistFlavour=-1	32	1	1	123	1	1	0	# 46.64 Gflop/s, 116.61 GB/s, tuned Wed Feb 25 07:39:02 2015
24x48x48x4	N4quda8axpyZpbxI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1,vol=221184,stride=221184,precision=8,TwistFlavour=1	32	1	1	123	1	1	0	# 46.70 Gflop/s, 116.74 GB/s, tuned Wed Feb 25 15:22:53 2015
24x48x48x4	N4quda8axpyZpbxI7double2S1_EE	vol=221184,stride=221184,precision=4,TwistFlavour=1,vol=221184,stride=221184,precision=8,TwistFlavour=1	32	1	1	128	1	1	0	# 46.85 Gflop/s, 117.13 GB/s, tuned Wed Feb 25 02:00:17 2015
24x48x48x4	N4quda8xmyNorm2Id7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	128	1	1	168	1	1	1024	# 21.40 Gflop/s, 171.21 GB/s, tuned Wed Feb 25 07:38:02 2015
24x48x48x4	N4quda8xmyNorm2Id7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	192	1	1	112	1	1	1536	# 21.40 Gflop/s, 171.18 GB/s, tuned Wed Feb 25 01:59:15 2015
24x48x48x4	copyKernel	dst=vol=221184,stride=221184,precision=4,TwistFlavour=-1,src=vol=221184,stride=221184,precision=8,TwistFlavour=-1	448	1	1	252	1	1	0	# 0.00 Gflop/s, 174.25 GB/s, tuned Wed Feb 25 07:38:12 2015
24x48x48x4	copyKernel	dst=vol=221184,stride=221184,precision=4,TwistFlavour=1,src=vol=221184,stride=221184,precision=8,TwistFlavour=1	896	1	1	238	1	1	0	# 0.00 Gflop/s, 174.01 GB/s, tuned Wed Feb 25 01:59:25 2015
24x48x48x4	copyKernel	dst=vol=221184,stride=221184,precision=8,TwistFlavour=-1,src=vol=221184,stride=221184,precision=4,TwistFlavour=-1	992	1	1	233	1	1	0	# 0.00 Gflop/s, 164.86 GB/s, tuned Wed Feb 25 07:39:13 2015
